,prévision,min_confiance,max_confiance
2025-07-01,4265727.89851567,-3392851.1975749237,11924306.994606264
2025-08-01,8965045.404880304,950271.461060714,16979819.348699894
2025-09-01,-1154654.1183524725,-9364125.954138178,7054817.717433233
2025-10-01,6149098.46159157,-2168518.1721412493,14466715.09532439
2025-11-01,-1040904.6810109407,-9419093.165144049,7337283.8031221675
2025-12-01,25650276.129695266,17238008.246061556,34062544.01332898
2026-01-01,27075888.939900562,18644399.361079477,35507378.51872165
2026-02-01,-4306643.798227805,-12748989.95878597,4135702.3623303594
2026-03-01,359515.96380955976,-8088966.859613963,8807998.787233083
2026-04-01,815883.4780642464,-7636069.601911329,9267836.558039822
2026-05-01,557253.8586539454,-7896662.121266698,9011169.83857459
2026-06-01,-335332.5414333099,-8790358.962090658,8119693.879224038
