,prévision,min_confiance,max_confiance
2025-07-01,829631.76833597,-10580293.045780152,12239556.582452092
2025-08-01,1521779.83730861,-10090845.974552907,13134405.649170127
2025-09-01,820014.0884408909,-10897974.775657382,12538002.952539165
2025-10-01,853643.157736952,-10919466.61541384,12626752.930887744
2025-11-01,1903739.9324352858,-9898301.300946677,13705781.165817248
2025-12-01,4021796.1550426567,-7795456.2620443,15839048.572129615
2026-01-01,1127235.8280606095,-10698021.220430959,12952492.87655218
2026-02-01,906137.6471128586,-10923333.622135453,12735608.916361172
2026-03-01,811771.4527206926,-11019919.181942279,12643462.087383663
2026-04-01,357889.59156214,-11474969.82601558,12190749.009139862
2026-05-01,888732.6451379403,-10944742.381892238,12722207.672168117
2026-06-01,1109257.8672234686,-10724541.418522164,12943057.152969103
