,prévision,min_confiance,max_confiance
2025-07-01,13248590.924597904,-591926992.0477096,618424173.8969053
2025-08-01,11496606.25279201,-594619326.3674108,617612538.8729948
2025-09-01,11387263.100125987,-611337620.2136198,634112146.4138719
2025-10-01,-22360398.329009145,-656928788.4942518,612207991.8362335
2025-11-01,11564333.146139447,-635393614.5334331,658522280.8257121
2025-12-01,7577358.897086195,-651392488.7970418,666547206.5912141
2026-01-01,11675039.87676367,-659118737.3324128,682468817.0859402
2026-02-01,12007468.245300649,-670400311.0909468,694415247.5815481
2026-03-01,-8516343.518206298,-702344700.6702938,685312013.6338811
2026-04-01,12001589.008344524,-693062200.9093648,717065378.9260539
