,prévision,min_confiance,max_confiance
2025-07-01,72132010.43346839,-222124492.1382286,366388513.0051654
2025-08-01,23500039.63156785,-287087401.4460296,334087480.7091653
2025-09-01,62796616.06463993,-250519602.07181752,376112834.20109737
2025-10-01,64217545.7287737,-249227673.91179377,377662765.3693412
2025-11-01,54010396.11668415,-259562960.36346853,367583752.5968368
2025-12-01,82165798.87840624,-231417910.30502093,395749508.0618334
2026-01-01,546836272.3436621,233215209.32822126,860457335.359103
2026-02-01,93945998.17023575,-219700844.6516027,407592840.9920742
2026-03-01,86582249.5747889,-227094258.90278545,400258758.0523633
2026-04-01,68085252.0840038,-245619498.8790998,381790003.0471074
2026-05-01,84931008.26593015,-228802486.0838141,398664502.6156744
2026-06-01,84373907.5353525,-229388147.19469056,398135962.2653955
2026-07-01,73768194.826214,-288154036.5204924,435690426.1729204
2026-08-01,44839542.03081146,-321277083.0402056,410956167.10182846
2026-09-01,77217753.08969769,-290040699.53148806,444476205.7108835
2026-10-01,74710103.84460971,-292550136.8401997,441970344.52941906
2026-11-01,73781996.3586722,-293603765.8644903,441167758.5818347
2026-12-01,87951013.72747606,-279479934.98823076,455381962.4431829
2027-01-01,506609167.1129543,139108958.97579497,874109375.2501137
2027-02-01,123162072.9039407,-244398192.01761982,490722337.8255012
2027-03-01,101945703.1195809,-265677816.6067507,469569222.84591246
2027-04-01,78343137.63841587,-289342470.4808164,446028745.75764817
2027-05-01,88501068.5784904,-279247029.0188395,456249166.17582023
2027-06-01,105498197.73145851,-262312231.5442057,473308627.00712276
2027-07-01,80243581.56816198,-313528740.1788765,474015903.31520045
2027-08-01,58374338.05935026,-337268998.2286443,454017674.3473448
2027-09-01,88273799.71958765,-308193061.8583213,484740661.2974967
2027-10-01,84358638.4350867,-312117303.948833,480834580.8190063
2027-11-01,86755012.1235714,-309869369.6420288,483379393.8891716
2027-12-01,95913002.07048592,-300790691.4935826,492616695.6345544
2028-01-01,498085902.6195976,101280701.13875365,894891104.1004416
2028-02-01,139518847.92377746,-257379586.94216448,536417282.7897194
2028-03-01,113339373.54786015,-283655179.19749737,510333926.29321766
2028-04-01,87907589.85054378,-309182014.19816303,484997193.8992506
2028-05-01,95669412.84361832,-301515591.7802911,492854417.46752775
2028-06-01,118955855.49239548,-278324393.8251615,516236104.80995244
2028-07-01,88452843.54247348,-328748902.40098876,505654589.48593575
2028-08-01,69112838.76262498,-349267692.9396461,487493370.4648961
2028-09-01,98124216.34614109,-321023109.9175774,517271542.6098596
2028-10-01,93704772.93039957,-325473261.0609175,512882806.9217167
2028-11-01,97292238.705597,-322066672.352363,516651149.76355696
2028-12-01,104654882.31259948,-314816846.65333927,524126611.2785382
2029-01-01,500921461.49273044,81314492.65127999,920528430.3341808
2029-02-01,151268404.6892344,-268465507.2181151,571002316.596584
2029-03-01,123310753.72139199,-296552981.0237444,543174488.4665284
2029-04-01,97223599.38791884,-322768871.93912905,517216070.7149667
2029-05-01,104126947.0084759,-315994594.61735755,524248488.63430935
2029-06-01,129666719.16728345,-290583719.7645991,549917158.099166
2029-07-01,97283316.75595371,-340782390.1375895,535349023.649497
2029-08-01,78849485.32390897,-360100031.83158004,517799002.479398
2029-09-01,107542680.95341723,-332193369.9048087,547278731.8116431
2029-10-01,102942563.79507051,-336848383.06651914,542733510.6566602
2029-11-01,106956772.95807043,-333052483.41636276,546966029.3325037
2029-12-01,113676181.51387939,-326480465.8672668,553832828.8950255
2030-01-01,507826649.2542935,67498956.63109231,948154341.8774947
2030-02-01,161367291.4954557,-279122711.2951982,601857294.2861097
2030-03-01,132772557.03808786,-307882766.4191537,573427880.4953294
2030-04-01,106450597.11010207,-334368885.12488693,547270079.3450911
2030-05-01,113046370.95622148,-327937601.35243344,554030343.2648764
2030-06-01,139393463.9592129,-301754796.8835387,580541724.8019645
2030-07-01,106336356.9663111,-351730241.61209935,564402955.5447216
2030-08-01,88227188.49583915,-370551586.10984135,547005963.1015196
2030-09-01,116806386.18471323,-342804656.3642836,576417428.73371
2030-10-01,112141537.4024506,-347550681.9784116,571833756.7833128
2030-11-01,116308639.79769064,-343642475.2693721,576259754.8647534
2030-12-01,122797590.68531276,-337337304.7285594,582932486.0991849
2031-01-01,516189899.9467761,55845989.02820015,976533810.865352
2031-02-01,170874777.77235946,-289668827.9586363,631418383.5033553
2031-03-01,142051789.62271532,-318694695.4178785,602798274.6633091
2031-04-01,115645703.76022367,-345302400.0304301,576593807.5508775
2031-05-01,122131280.35462174,-339018771.9381485,583281332.6473919
2031-06-01,148767619.53423876,-312584143.5621616,610119382.6306391
2031-07-01,115469138.27756226,-362320385.03957766,593258661.5947022
2031-08-01,97476289.757211,-380901411.7952571,575853991.3096792
2031-09-01,126014644.36776108,-353250463.3840108,605279752.119533
2031-10-01,121326603.5982491,-358048367.81775683,600701575.014255
2031-11-01,125548484.44145808,-354128236.7523999,605225205.6353161
