,prévision,min_confiance,max_confiance
2025-07-01,1168143.9385164955,-3727477.352969111,6063765.230002102
2025-08-01,1216706.9329953995,-3680196.420412925,6113610.286403724
2025-09-01,1139695.31887976,-3758501.1527140997,6037891.7904736195
2025-10-01,1278358.4558018232,-3621142.28339814,6177859.195001787
2025-11-01,2637395.3964605434,-2263420.8536764383,7538211.646597525
2025-12-01,1661941.1819086187,-3240201.917164835,6564084.280982072
2026-01-01,1694167.481661233,-3209313.9699059185,6597648.933228385
2026-02-01,1372556.1784079,-3532279.2666977644,6277391.6235135645
2026-03-01,1178275.807998768,-3727921.2929700594,6084472.908967596
2026-04-01,1233805.4507459176,-3673765.0366173824,6141375.938109218
2026-05-01,1169488.3608250974,-3739467.342161189,6078444.063811383
2026-06-01,1294888.176444484,-3615464.6708870092,6205241.023775977
