,prévision,min_confiance,max_confiance
2025-07-01,9125726.40412676,-3719252.42801024,21970705.23626376
2025-08-01,5663463.21691568,-7205215.701630209,18532142.13546157
2025-09-01,9139475.520716459,-3752560.449214101,22031511.490647018
2025-10-01,7383534.280743886,-5531521.354453556,20298589.915941328
2025-11-01,5450227.972924666,-7487515.475529461,18387971.42137879
2025-12-01,13717090.52284391,756985.6907796673,26677195.354908153
2026-01-01,7945145.8041221425,-5036999.281339521,20927290.889583804
2026-02-01,4893215.215320928,-8110654.266192114,17897084.69683397
2026-03-01,6795911.382661984,-6229371.637656641,19821194.40298061
2026-04-01,9404886.008421686,-3641504.7499799933,22451276.766823366
2026-05-01,8561738.187320873,-4505459.4143124055,21628935.788954154
2026-06-01,9234050.620573819,-3853657.7398214918,22321758.98096913
