,prévision,min_confiance,max_confiance
2025-07-01,5043201.993016217,-11012706.458581498,21099110.444613934
2025-08-01,11581690.685423058,-4474231.845668633,27637613.216514748
2025-09-01,5564191.393471324,-10491732.496575642,21620115.28351829
2025-10-01,8800179.70843653,-7255744.312777096,24856103.729650155
2025-11-01,4605401.039203793,-11450522.994670069,20661325.073077656
2025-12-01,11789594.699109089,-4266329.335986743,27845518.73420492
2026-01-01,18996155.07812066,2940231.042906884,35052079.11333443
2026-02-01,9461776.37124627,-6594147.663890259,25517700.4063828
2026-03-01,1338164.8389642192,-14717759.196216412,17394088.87414485
2026-04-01,8617463.882858241,-7438460.152234819,24673387.9179513
