,prévision,min_confiance,max_confiance
2025-07-01,1745828.7851264908,-4092311.907882993,7583969.478135974
2025-08-01,1466297.2091565635,-4371908.580042547,7304502.998355674
2025-09-01,1864475.561245344,-3973730.6289976942,7702681.751488382
2025-10-01,903742.8587254588,-4934463.333988341,6741949.051439259
2025-11-01,1664753.9323059644,-4173452.260423057,7502960.125034986
2025-12-01,2309683.702893994,-3528522.4898351217,8147889.895623109
2026-01-01,2851570.0050906604,-2986636.187638456,8689776.197819777
2026-02-01,307458.71717996104,-5530747.475549156,6145664.909909077
2026-03-01,1039102.957256136,-4799103.221086113,6877309.135598384
2026-04-01,2929436.2578538135,-2908769.933739977,8767642.449447604
2026-05-01,1504362.5487209961,-4333843.631368123,7342568.728810115
2026-06-01,1831681.7973781698,-4006524.38264007,7669887.97739641
