,prévision,min_confiance,max_confiance
2025-07-01,58618594.123626135,26529097.995084204,90708090.25216806
2025-08-01,-14925848.781669172,-52232335.483086705,22380637.919748366
2025-09-01,19406271.83095619,-18384842.836411178,57197386.49832356
2025-10-01,8598113.168017745,-29241376.07004554,46437602.40608103
2025-11-01,3974929.5847870586,-33869419.15451832,41819278.32409243
2025-12-01,9686641.280000776,-28158195.93297258,47531478.49297413
2026-01-01,7592527.202531387,-30252359.11459216,45437413.51965494
2026-02-01,301584.04768486525,-37543307.20523017,38146475.300599895
2026-03-01,12323690.20567568,-25521201.543657664,50168581.95500903
2026-04-01,5176788.430436329,-32668103.36861956,43021680.22949222
2026-05-01,4238618.934136912,-33606272.869917385,42083510.73819121
2026-06-01,6460248.219907433,-31384643.58464934,44305140.024464205
