date;montant
2020-08-03;246500.0
2020-08-11;140000.0
2020-11-04;205813.5
2020-12-17;69972.0
2020-12-25;1324.8
2021-08-04;1800.0
2021-08-16;100000.0
2021-09-08;199944.0
2021-12-28;200000.0
2022-01-05;434400.0
2022-01-10;61397029.6
2022-01-13;24500.0
2022-02-21;195624.0
2022-04-15;7007294.12
2022-07-04;57120.0
2022-07-12;98810.51
2022-07-25;296.04
2022-08-23;30288000.0
2022-08-25;98311.2
2022-08-26;20000000.0
2022-09-19;66600.0
2022-10-13;160000.0
2022-10-18;49830.0
2022-11-29;49848.6
2022-12-05;45500.0
2022-12-28;2505.6
2023-01-02;1152.0
2023-01-12;97920.0
2023-01-17;85969.6
2023-01-23;2088.0
2023-01-26;13920287.0
2023-01-27;20000000.0
2023-06-01;21061.2
2023-07-25;108081.6
2023-08-02;99072.0
2023-11-08;290908.8
2023-11-17;73830.0
2023-11-20;136000.0
2023-12-23;8250.0
2023-12-25;189750.0
2024-01-03;3220.0
2024-01-29;12000.0
2024-01-30;68000.0
2024-02-02;8250.0
2024-02-05;189750.0
2024-05-02;8414577.8
2024-06-10;119213.6
2024-06-11;12000.0
2024-06-12;68000.0
2024-07-10;636.32
2024-07-16;307.85
2024-07-29;4939.8
2024-07-31;18769.87
2024-10-08;77000.0
2024-10-22;39084.0
2024-10-25;9375.0
2024-10-28;35625.0
2024-11-12;12000.0
2024-11-13;68000.0
2024-12-02;3125.0
2024-12-03;11875.0
2024-12-19;3125.0
2024-12-20;11875.0
2024-12-25;12255.0
2024-12-26;100780.2
2025-02-07;127000000.0
2025-03-13;1643385.3
2025-04-17;21375.0
2025-04-18;103625.0
2025-04-21;65100.0
2025-05-08;425324.4
2025-05-15;6250.0
2025-05-16;23750.0
2025-05-30;11000.0
2025-06-18;113929.2
