date;montant
2020-03-04;40600.0
2020-03-05;2484648.96
2020-03-19;40600.0
2020-03-20;105206.8
2020-03-25;40600.0
2020-04-03;3157284.2
2020-04-10;6090822.0
2020-05-07;40600.0
2020-05-27;1353121.8
2020-06-03;40600.0
2020-06-04;1189040.66
2020-06-05;300000.0
2020-06-09;3066.33
2020-06-23;19680.0
2020-06-25;6000000.0
2020-06-26;8167.2
2020-07-01;316458.1
2020-07-07;81470.4
2020-07-08;185160.0
2020-07-14;40600.0
2020-07-15;5000.0
2020-07-16;65000.0
2020-07-21;15000.0
2020-07-27;900067.91
2020-07-28;3007400.0
2020-08-10;340600.0
2020-08-17;458685.59
2020-08-18;1638861.85
2020-08-19;269998.0
2020-09-03;650000.0
2020-09-04;94369.8
2020-09-17;40600.0
2020-09-18;10003.7
2020-09-22;370039.2
2020-09-24;36800.4
2020-09-25;1024338.07
2020-09-28;203950.12
2020-10-08;5000.0
2020-10-12;1232.87
2020-10-13;190.88
2020-10-15;286457.03
2020-10-16;20212.17
2020-10-20;14000000.0
2020-10-21;40600.0
2020-10-23;127101.79
2020-10-27;5000.0
2020-11-09;5205244.3
2020-11-10;45000.0
2020-11-12;40600.0
2020-11-13;35000.0
2020-11-19;391140.0
2020-11-23;157474.2
2020-11-24;888680.0
2020-11-26;9618.8
2020-11-27;505000.0
2020-12-03;30000.0
2020-12-07;11040000.0
2020-12-08;311000.0
2020-12-09;650000.0
2020-12-11;5000.0
2020-12-18;10000000.0
2020-12-21;9040600.0
2020-12-22;44840.0
2021-01-19;168588.0
2021-01-25;151200.0
2021-01-27;17520.0
2021-01-28;49425.41
2021-02-01;30200.0
2021-02-02;509.11
2021-03-22;2678521.28
2021-03-26;3157284.2
2021-03-30;4638512.99
2021-04-14;5648.0
2021-04-15;46911.16
2021-04-22;5000000.0
2021-04-29;3.14
2021-04-30;650000.0
2021-05-06;2000000.0
2021-05-18;446000.0
2021-05-26;10000000.0
2021-05-27;2033951.4
2021-06-03;5774.42
2021-06-10;6235.2
2021-06-11;5000000.0
2021-06-15;10000000.0
2021-06-16;92001.0
2021-06-24;8000000.0
2021-06-25;279094.03
2021-06-29;1028103.51
2021-07-05;2925496.81
2021-07-06;1915221.6
2021-07-12;22454.82
2021-07-14;37564.72
2021-07-26;10000.0
2021-07-28;42900.0
2021-08-09;2200.0
2021-08-11;5000000.0
2021-08-17;169714.2
2021-08-19;7000000.0
2021-08-23;300000.0
2021-08-24;46364.1
2021-08-26;90600.0
2021-09-03;5000000.0
2021-09-09;115175.24
2021-09-14;10000.0
2021-09-24;79020.0
2021-10-08;2017399.0
2021-10-11;897631.46
2021-10-18;4233.9
2021-10-27;10860.0
2021-10-28;500000.0
2021-11-02;3840.0
2021-11-03;123389.05
2021-11-15;942911.38
2021-11-16;1936.86
2021-11-17;1040224.7
2021-11-19;5040000.0
2021-11-23;302416.71
2021-11-24;158688.0
2021-11-26;27.55
2021-11-29;26940.0
2021-12-03;34233.9
2021-12-07;80000.0
2021-12-09;8962900.0
2021-12-13;130000.0
2021-12-14;50856.64
2021-12-16;97276.0
2021-12-17;50000.0
2021-12-24;744.97
2021-12-27;50000.0
2021-12-29;0.28
2021-12-30;885112.03
2022-01-03;123083.46
2022-01-04;4253371.09
2022-01-05;60043.03
2022-01-07;109203.54
2022-01-25;236203.14
2022-02-24;613592.0
2022-03-01;40553858.99
2022-03-08;75600.0
2022-03-11;5000000.0
2022-03-16;2800.0
2022-03-21;3051498.95
2022-03-22;280000.0
2022-03-23;550000.0
2022-03-29;3302171.15
2022-04-12;39200.0
2022-04-22;458.47
2022-05-04;4490.64
2022-05-11;39200.0
2022-05-12;172080.0
2022-05-16;16516385.06
2022-05-19;173865.0
2022-05-26;3334862.28
2022-05-30;5388.6
2022-06-09;383672.89
2022-06-10;8246000.0
2022-06-13;839200.0
2022-06-22;10000.0
2022-06-23;5200.0
2022-06-27;2400144.98
2022-06-29;189810.0
2022-07-05;44588.6
2022-07-12;129768.0
2022-07-14;457849.85
2022-07-15;8000000.0
2022-07-22;1397572.17
2022-07-27;5200000.0
2022-08-01;35203.81
2022-08-08;39200.0
2022-08-15;8000000.0
2022-08-18;68580.0
2022-08-25;165000.0
2022-08-26;5388.6
2022-09-01;380.0
2022-09-06;68382.0
2022-09-12;222230.91
2022-09-21;65191.94
2022-09-22;29172.39
2022-09-29;10000000.0
2022-09-30;400000.0
2022-10-08;5040000.0
2022-10-17;243777.59
2022-10-19;267808.0
2022-10-26;2627.0
2022-10-27;5000000.0
2022-10-28;661040.0
2022-11-02;10005731.2
