date;montant
2020-08-04;150400.0
2021-01-12;225600.0
2021-07-12;56400.0
2021-07-14;35887.56
2021-08-11;132960.0
2021-09-03;56400.0
2021-10-01;2760.0
2021-11-26;56400.0
2021-12-20;31535.0
2022-01-07;86178.0
2022-05-24;10000.0
2022-05-27;56400.0
2022-06-01;3000.0
2022-07-26;56400.0
2022-11-07;56400.0
2022-12-09;2870.4
2022-12-12;1956.0
2022-12-14;6396.0
2022-12-15;8856.0
2022-12-16;40140.0
2022-12-22;3876.0
2023-01-06;10192.89
2023-01-09;8460.0
2023-01-10;47940.0
2023-05-02;120000.0
2023-05-19;5.0
2023-05-22;17295.0
2023-10-16;78178.8
2023-10-25;1956.0
2023-11-21;3958.8
2023-11-28;18330.0
2023-11-29;103870.0
2023-12-28;18012.0
2024-01-03;9306.0
2024-01-04;52734.0
2024-04-26;9306.0
2024-04-29;52734.0
2024-05-07;20000.0
2024-07-22;9306.0
2024-07-23;52734.0
2024-08-07;1.0
2024-08-08;2999.0
2024-09-09;2416.8
2024-09-10;4.0
2024-09-11;15996.0
2024-09-25;1380.0
2024-10-09;9306.0
2024-10-10;52734.0
2024-10-16;14388.0
2024-11-20;2496.0
2024-12-04;19698.0
2024-12-17;3480.0
2024-12-31;9306.0
2025-01-02;52734.0
2025-04-14;9306.0
2025-04-15;52734.0
2025-05-06;4.0
2025-05-07;47996.0
