date;montant
2023-04-27;259974.0
2023-05-09;257400.0
2023-06-14;40000.0
2023-08-02;10166.82
2023-08-07;26419.08
2023-08-08;300000.0
2023-08-30;39900.0
2023-09-12;8515.76
2023-09-18;213933.0
2023-09-19;169999.0
2023-10-04;173760.96
2023-10-23;22126.94
2023-11-07;10644.7
2023-11-14;1800.0
2023-11-24;3580.49
2023-12-01;9900.0
2023-12-06;12773.64
2023-12-27;9677.0
2024-01-24;1325.0
2024-02-15;9289.92
2024-03-06;11805.94
2024-03-18;381588.61
2024-03-22;120000.0
2024-04-01;9866.82
2024-04-30;29857.0
2024-05-02;143.0
2024-05-10;250000.0
2024-05-13;6664.68
2024-05-31;8886.24
2024-06-06;150000.0
2024-06-07;2760.0
2024-07-01;6664.68
2024-07-15;19847.46
2024-08-06;8886.24
2024-09-10;6664.68
2024-10-01;9424.68
2024-10-07;2221.56
2024-10-30;6664.68
2024-11-28;8886.24
2024-12-02;30000.0
2024-12-04;29796.22
2024-12-12;4440.0
2024-12-26;6664.68
2024-12-31;787000.0
2025-01-02;2200.0
2025-01-27;700.0
2025-02-14;8464.68
2025-02-25;553768.91
2025-03-05;8886.24
2025-04-02;4443.12
2025-05-05;59713.0
2025-05-06;11881.0
2025-05-16;3360.0
2025-05-26;64500.0
2025-06-02;11594.0
2025-06-19;4669.76
2025-07-01;11594.0
2025-07-07;13824.0
